title,url,date,title_content,content,collection_time
北朝鮮の脅威拡大許した度重なる米国の誤算…ドナルド・トランプ氏復権で漂う暗雲,https://www.yomiuri.co.jp/column/matsurigoto/20241112-OYT8T50074/,2024/11/14 10:00,北朝鮮の脅威拡大許した度重なる米国の誤算…ドナルド・トランプ氏復権で漂う暗雲,"
３０年前は、空爆で問題は片付くと考える米国の大統領がいた。
２０年ほど前には、周辺国が包囲網を築けば暴走は止まり、やがて独裁体制は崩壊すると信じられていた。
約１０年前、スイスで学んだ若者が政権を世襲した時は、欧州の民主主義国で暮らした経験から改革開放路線にかじを切るのではないかという期待が高まった。
北朝鮮の核・ミサイル開発の歴史を振り返ると、欧米諸国はことごとく甘い見通しで、北朝鮮の時間稼ぎを許してきたことが思い起こされる。


米国では２０２４年１１月５日投開票の大統領選で、その約６年前に北朝鮮の
金正恩
・朝鮮労働党委員長（後に総書記）と初の米朝首脳会談に臨み、平和的な問題解決に失敗したばかりでなく、独裁者が一層の軍備強化に走る動機を高めたことを自賛さえしてきた第４５代大統領のドナルド・トランプ氏が圧勝し、２５年１月から第４７代大統領を務めることになった。

日本を取り巻く安全保障環境が極めて悪化したうえに、頼みの綱である米国の出方も見通せなくなる中で、「自律的に日本の守りを強化しなければならない」と訴える声の高まりに対し、「不安をあおることが、かえって戦争や軍拡競争を招く」という反論も根強い。
防衛力強化に理解を示す専門家の間でも、北朝鮮の軍事力について「まだ、たいしたことはない」といった受け止め方と、「脅威は想像していた以上に深刻だ」という見方が交錯する。
日本では２４年１０月の総選挙の結果、与野党伯仲の状況が生まれたこともあり、防衛力強化の是非も政争の材料にされる傾向が強まった感がある。
こうした論争自体は、日本では何が足りていて、何が足りないかをあぶり出すきっかけになるという意味で、必ずしも不毛ではない。
ただ、議論を深め、より多くの人が納得できる方向を見つけていくためにも、まずは、北朝鮮の脅威がどこまで深刻なのかを見極める必要があるだろう。
先入観を排して、北朝鮮の脅威がどの程度まで高まっているのかをしっかりと見ていくことが、かつてないほど重要になっている。


米大統領選の投開票日を約１週間後に控えた２４年１０月３１日朝に北朝鮮が
平壌
近郊から発射したＩＣＢＭ（大陸間弾道ミサイル）は、日本を含む周辺国のみならず、欧米諸国にも衝撃を与えた。
他国に実害を与えないよう垂直に近い高角度のロフテッド軌道で発射して性能確認を行ったミサイルは、「高度７０００キロメートル超、おそらく７５００キロメートル以上に達した可能性がある」（日本政府高官）。
これまで北朝鮮がロフテッド軌道で打ち上げたＩＣＢＭ「火星１８」の最高到達高度は約６５００キロメートルだったから、「性能が格段にあがった」（同）と言える。朝鮮中央通信は１１月１日、このＩＣＢＭが「火星１９」であると伝えるとともに、「最終完結版ＩＣＢＭ」と位置づけた。
新型ＩＣＢＭ開発の可能性をうかがわせる要素は、発射以前からあった。具体的には、２４年９月に金正恩総書記が視察した模様が報じられた移動式発射台（ＴＥＬ）の変化だ。
北朝鮮からの報道に映っていたのは、従来の左右に１１個ずつの２２個の車輪で動く「１１軸車両」のＴＥＬではなく、左右に車軸が１２、車輪が２４ある「１２軸車両」のＴＥＬだった。
ＴＥＬの大型化は、ミサイル自体の大型化によって飛距離を伸ばす新型ＩＣＢＭの開発を示唆していた。
１０月３１日のＩＣＢＭは水平の距離にして約１０００キロメートルを飛び、北海道の奥尻島沖の西方約２００キロメートル、日本の排他的経済水域（ＥＥＺ）外の日本海に落下した。正常角度（３０～４５度）で飛ばした場合、射程は「最大で１万８０００キロ」（日本政府高官）に及ぶという。
この距離で平壌から同心円を描くと、米国全土はもとより、欧州全域、さらにはアフリカ大陸とオーストラリアも収まる。
ミサイルの射程は弾頭の重量によって変わるが、北朝鮮は既に核弾頭の小型化に成功していると言われる。
「火星１９」が実戦配備されれば、中距離弾道ミサイルの射程内にある韓国や日本だけでなく、南太平洋や欧州に位置する米国の同盟国全てに、北朝鮮は核攻撃を仕掛ける能力があることを示したと言える。
もちろん、北朝鮮はまだ正常角度での発射実験を行っていないため、大気圏を越えてから再突入する際に生じる高温などに耐え得るのかどうかは確認されていない。
今後、正常角度での発射実験を含め、実戦に使えるかどうかの検証が行われると見られるものの、北朝鮮のミサイル技術が着実に進化していることは間違いない。
北朝鮮では、核兵器製造のための材料となるウランが豊富に産出する。核兵器もミサイルも、他国に依存することなく独自に技術を向上させてきた分、外からの制御が利きにくい。
日本政府高官は「北朝鮮が独自に、ここまで技術を高めるとは、３０年前に核危機が起きた時には予想していなかった」と危機感をあらわにする。


１９９４年に北朝鮮の核開発疑惑が露見した際、ＮＰＴ（核不拡散条約）体制の崩壊を懸念する米国のビル・クリントン政権は、北朝鮮の核施設に対する空爆の検討までしていた。
日本ではちょうど、９３年の総選挙の結果、自民党が比較第１党でありながら野党に転落し、８党会派による細川護熙政権、少数与党となった羽田孜政権、そして自民党が政権復帰を果たすために社会党の村山富市委員長を担いだ自民、社会、新党さきがけの３党連立の村山政権と続き、政治の安定が揺らいでいた時期だった。
９４年の核疑惑では最終的に、クリントン大統領と同じ民主党のジミー・カーター元大統領が北朝鮮を訪問し、米朝枠組み合意をまとめて、武力行使という事態を回避した。
米朝枠組み合意は、北朝鮮がプルトニウムを容易に作ることのできる黒鉛減速炉型の原子力発電所を放棄し、核兵器製造に転用しにくい軽水炉型の原発を建設することが柱だった。軽水炉の建設と、その完成までのエネルギー支援としての重油の提供を、米国、日本、韓国が提供することになり、実施機関として朝鮮半島エネルギー開発機構（ＫＥＤＯ）が設立された。
しかし、米朝枠組み合意は、北朝鮮が黒鉛炉から出た使用済み核燃料に関する国際原子力機関（ＩＡＥＡ）の査察を拒否するなどしたため、有名無実となっていった。
２００２年には、北朝鮮がウランによる核開発を進めていたことが露見した。
ＫＥＤＯは０５年に解散を決め、１０年近くに及んだ米朝枠組み合意は、北朝鮮が核開発を進めるための時間稼ぎに使われただけだという評価が定まった。
０３年に北朝鮮の核開発問題を解決するために米国、中国、韓国、日本に加え、ロシアも参加した「６か国協議」が設立された時は、北朝鮮の後ろ盾だった中国が、それまで国際社会で役割を果たすことに後ろ向きだった態度を改め、６か国協議を主導することへの意欲を示すようになった。
中国の積極姿勢もあって、核・ミサイル問題の解決に向けた前進が期待された６か国協議も、北朝鮮が時にのらりくらりと、時にあえて合意に違反する行為を繰り返すことで条件闘争に持ち込もうとする得意の「瀬戸際戦術」による時間稼ぎの前に、機能不全に陥った。
印象的だったのは、６か国協議設立時の第４３代ジョージ・Ｗ・ブッシュ政権のアジア担当高官が当時、「北朝鮮のような独裁体制は、あと１０年も持たない。米国が体制転覆を仕掛けなくても、６か国協議を続けている間、北朝鮮を封じ込めることができ、やがて体制が崩壊する」と予測していたことだ。
いわば、時間稼ぎをしていたのは北朝鮮というより、米国だったことになる。
当時の米国には、西側からの情報流入で国民が目覚め、冷戦終結を加速させた１９８０年代末の東欧諸国の例が、北朝鮮にも当てはまるという考え方が根強くあった。
一方で、核開発に着手した北朝鮮の
金日成
国家主席もまた、東欧諸国の歴史に学んだことを後継者に継承していた。
よく知られているのは、冷戦期にルーマニアで独裁的な振る舞いを続けていたニコラエ・チャウシェスク大統領が民主化へのうねりの中で処刑されたことに金日成主席が驚き、強力な対抗手段として核兵器保有が必要だという考え方になったとされる逸話だ。
９４年の金日成主席の急逝後、最高権力の座を世襲した
金正日
総書記も、父の発想と路線を継承した。
この間、冷戦後の東欧諸国のような変化が北朝鮮に起きなかったのは、厳しい情報統制が一定の効果をあげていたことや、「目上の者には逆らわない」といった儒教文化から来る国民性が理由だとする分析がある。
東欧との比較で社会的な違いを軽視しがちだった米国が、枠組み合意や６か国協議を通じて「北朝鮮にとってマイナスの時間稼ぎ」をした結果、かえって北朝鮮に核兵器や弾道ミサイルの開発を進める「時間稼ぎ」をさせてしまったのは、皮肉としか言いようがない。
２０１１年暮れ、金正日総書記が亡くなり、三男の金正恩氏が後継者として登場した時は、スイスで学んだ経歴や若さに対し、独裁体制から開明的な路線への変化が起きるのではないかと期待する声が国際社会では出ていた。
この期待も、的外れであったどころか、完全な読み違いであったことは、その後の北朝鮮の振る舞いを見れば一目瞭然だろう。
例えば、金正日政権下（１９９４～２０１１年）と金正恩政権下（２０１２年～）の核実験の回数と弾道ミサイルの発射数を比較すると、金正日政権時代は、北朝鮮として初となった０６年を含む２度の核実験と、１６発の弾道ミサイル発射が行われた。
これに対し、金正恩政権は１２年以降で核実験が４度、弾道ミサイル発射は冒頭で記した２４年１０月３１日のものを含めて１９３発に及ぶ。
ミサイル発射には、鉄道、潜水艦から発射する探知困難なものや、極超音速ミサイルも含まれている。


米国の対応は、どうだったろうか。
クリントン政権（１９９３～２００１年）、第４３代ブッシュ政権（０１～０９年）、バラク・オバマ政権（０９～１７年）のいずれも、「悪行に報酬は与えず」の姿勢で、北朝鮮との首脳会談を避けてきた。
「金王朝」の体制保持が、国民の幸福や繁栄以上の最大の目標だとされる北朝鮮にとって、体制の安全は中国による保証だけでは不十分だった。
朝鮮戦争を戦った北朝鮮と韓国は長い「休戦状態」にあるだけで、戦争は正式には終わっていない。「国連軍」として韓国を支援した米国が北朝鮮トップの「斬首作戦」をしないと約束し、平和条約を結び、国交を樹立し、経済支援などを行うことにこそ、保証の核心があると、３代続く金政権は考えてきた。
だからこそ、北朝鮮にとって米朝首脳会談の実施は体制保証への極めて大きなステップと考えられていて、その裏返しとして、米国にとって首脳会談は、北朝鮮からの譲歩を引き出すための重要なカードだった。
１８年、トランプ米大統領はそのカードを驚くほどあっさりと切ったが、北朝鮮の核開発・ミサイル開発の問題は解決に至らなかった。
とはいえ、前向きに見える動きがなかったわけではない。初の米朝首脳会談があった１８年に、北朝鮮は核実験も弾道ミサイルの発射も行わなかった。核施設の一部を破壊する「パフォーマンス」も見せた。
１８年６月にシンガポールで行われた初の米朝首脳会談に続き、１９年２月にはベトナム・ハノイで第２回首脳会談が行われたが成果なく、同年６月にトランプ大統領が韓国を訪れ、板門店で３回目の米朝首脳会談を行った。この際、トランプ大統領は板門店の南北軍事境界線を歩いて越え、北朝鮮側に足を踏み入れ、「歴史的瞬間」をアピールした。
結局、北朝鮮の核施設の廃棄を求める米側と、米国の経済制裁の即時解除を求める北朝鮮との思惑はすれ違い、３度にわたる米朝首脳会談も北朝鮮の問題を解決する触媒にすらならなかった。
むしろ、トランプ政権の対応に失望した金正恩総書記は、１９年に２５発の弾道ミサイル発射を再開し、その後、新型コロナウイルスの感染拡大などもあって頻度は一時的に低下したものの、２０年大統領選でトランプ大統領が敗れた後、ジョー・バイデン政権の２２年には、過去３０年間で最多となった５９発の弾道ミサイルを発射している。
先行きに対する深い洞察や戦略が不十分のまま、安易に首脳会談というカードを切ったことが逆に北朝鮮を暴走させてしまったという自覚がなければ、２期目のトランプ政権は同じ過ちを繰り返すかもしれない。


２０２２年から隣国のウクライナへの侵略を続けているロシアの弾薬不足、兵員不足に乗じてロシアとの関係を急速に緊密にした北朝鮮は、武器・弾薬のロシアへの供与にとどまらず、とうとう、北朝鮮軍兵士のロシア派遣にまで踏み込んだ。
２４年６月に平壌で行われたロシアのウラジーミル・プーチン大統領と金正恩総書記との首脳会談で合意した「包括的戦略パートナーシップ条約」に基づく派兵と見られている。
同条約をめぐっては、北朝鮮側が露朝の軍事同盟の樹立であるとの見解を示したのに対し、ロシアは「同盟」という言葉は使っておらず、温度差がある。
それでも北朝鮮が、ロシア議会による同条約の承認を経ていない段階で派兵に踏み切ったのは、ロシアからの「見返り」に期待した側面が強い。
ウクライナのウォロディミル・ゼレンスキー大統領は２４年１１月７日、ハンガリーのブダペストで開かれた「欧州政治共同体（ＥＰＣ）」首脳会議の後の記者会見で、北朝鮮軍の兵士約１万１０００人がロシアに送り込まれていると明言した。
また、ウクライナがロシアに対する越境攻撃で一部地域を占領したロシア西部クルスク州で、ロシアの領土奪還を図る戦闘に北朝鮮兵が参加し、「損害」を受けたとの見方を示した。北朝鮮兵に死傷者が出ているとの情報もある。
事態は既に、不可逆的に進んでいる。その中で北朝鮮がロシアからの経済支援、食料支援に加えた軍事面での「見返り」として求めているものは、２１年１月の朝鮮労働党大会で金正恩総書記が「国防工業を飛躍的に強化して発展させるための中核的な構想と重大な戦略的諸課題」として触れた装備、つまり、開発途上にあるか、性能を一層高めようとしている装備ではないかと見られている。
その中で日本や韓国などの周辺国のみならず、国際社会全般にとって脅威になりそうなのが、原子力潜水艦と多弾頭個別誘導技術だ。
北朝鮮は既に、潜水艦からの弾道ミサイル発射実験を行っていて、ロシアから原潜を提供されるなり、建造技術を教えられるなりすれば、「核の脅し」はあらゆる国に対して利いてくる。
多弾頭個別誘導技術は、ミサイルの弾頭に搭載された爆弾が複数に分かれ、別々のターゲットを狙うために必要となるもので、軍事面での威力は飛躍的に高まると見られる。ロシアは既にこの技術を確立しているとされる。
日本政府高官は「ロシアが技術の核心部分を北朝鮮に簡単に手渡すことはないはずだ。ただ、スペックを落として供与する可能性は高い。米国が同盟国に装備を提供する手法と同じで、例えば同じ戦闘機でも性能を少し落とし、ブラックボックスを残し、米軍でなければ修理も点検もできないようにしておく。それでも、北朝鮮が独自に開発しようとすれば完成に数年かかる装備が、ただちに提供されることは大きい」と警戒する。
露朝の関係が急速に縮まり、欧米諸国の懸案であるウクライナ情勢にも影響が出ていることで、これまで北朝鮮問題に対する関心が低かった欧州諸国も、北朝鮮の脅威に対する見方を改めるようになっている。
それでも、日本や韓国が長年持ち続けてきた脅威認識とは、まだギャップがあるように見える。
",2024-11-23 10:10:13
元「ミスター慶応」人気俳優　３６歳の姿にファン混乱「なんてこった…」「どうしたの」「身体に目が」,https://www.yomiuri.co.jp/culture/hochi/20241113064-OHT1T51085/,No Date,No Title Content,No Content,2024-11-23 10:10:23
［スキャナー］露朝「軍事条約」批准、米を意識の同盟復活へ…プーチン氏は西部奪還急ぐ,https://www.yomiuri.co.jp/world/20241112-OYT1T50215/,No Date,No Title Content,No Content,2024-11-23 10:10:31
レベル拮抗する日韓のハンドボールリーグが業務協力…王者同士の試合、交流戦など今後検討,https://www.yomiuri.co.jp/sports/etc/20241112-OYT1T50148/,2024/11/12 17:44,レベル拮抗する日韓のハンドボールリーグが業務協力…王者同士の試合、交流戦など今後検討,"日本ハンドボールリーグ（ＪＨＬ）は１２日、韓国リーグ「Ｈリーグ」との業務協力を目的とした覚書を締結したと発表した。
両国のトップリーグが協力することでハンドボールの普及と発展を目指すもので、９日にソウルでＪＨＬの中村和哉代表理事と韓国連盟の副会長が出席し、署名式が行われた。
覚書に基づいて両国リーグ間で具体的な取組の内容について協議、検討していくことになるが、今秋開幕した日本の新リーグ「リーグＨ」との王者同士によるクラブ選手権や、交流戦の開催などの実現を今後検討していくという。
昨年の女子五輪アジア予選では、韓国が日本と競り合って出場権を獲得するなど昨今、両国のレベルは拮抗している。男子は日本が出場を果たしたが、韓国は逃している。ハンドボールは欧州が盛んでリーグのレベルも圧倒的に高い。日韓両リーグの協力で、アジアのハンドボールの発展と底上げが期待される。",2024-11-23 10:10:39
成田凌、クォン・ウンビから“巨大キンパ”贈られる「怖いね、すばらしい…！」ｉｍａｓｅと感激,https://www.yomiuri.co.jp/culture/hochi/20241110064-OHT1T51111/,No Date,No Title Content,No Content,2024-11-23 10:10:49
トランプ次期大統領に備える中国、インドや日本に外交攻勢…イーロン・マスク氏にも働きかけ,https://www.yomiuri.co.jp/world/20241110-OYT1T50007/,2024/11/10 09:14,トランプ次期大統領に備える中国、インドや日本に外交攻勢…イーロン・マスク氏にも働きかけ,"【北京＝吉永亜希子】中国の
習近平
政権は、米国のトランプ次期大統領に対応する準備を加速させている。米中関係が不安定になれば中国経済にマイナス影響が懸念される中、欧州や日韓と関係改善を図り、新興・途上国「グローバル・サウス」の取り込みを進める方針だ。
中国政府の内情に詳しい関係者によると、米大統領選の結果が出た６日、党中央による会議が開かれた。習近平国家主席も出席し、トランプ氏の大統領就任がロシアのウクライナ侵略やパレスチナ自治区ガザの情勢に与える影響の分析が行われ、台湾問題や対中高関税への対応策を協議した。
「ディール（取引）」を好むトランプ氏と関税率などの協議ができる環境を整えるため、中国の一部電気自動車（ＥＶ）メーカーが米国で工場を新設することを許可する方針が確認された。
新政権とのパイプ作りのため、中国政府との関係が良好でトランプ氏に近い米実業家イーロン・マスク氏にも働きかける。中国の
李強
首相は上海市トップの市党委員会書記だった２０１８年、マスク氏が最高経営責任者（ＣＥＯ）を務めるＥＶ大手テスラの工場を誘致した。その後もたびたび会談しており、「２人の親交は中国政府にとって好材料」と判断されている。
ただ、トランプ政権で外交・安全保障や通商の対中政策を担うとみられる高官は、強硬派が勢ぞろいしている。米メディアが国務長官候補に挙げるロバート・オブライエン元国家安全保障担当大統領補佐官、親台派のマルコ・ルビオ上院議員らは２０年以降、相次いで中国政府から入国禁止の制裁対象となっている。
バイデン政権は、中国との対話を重ねて競争を管理する方針を掲げてきた。トランプ次期政権の高官の顔ぶれ次第では、そもそも対話が成立するかどうかすら不透明だ。",2024-11-23 10:10:56
高速船浸水隠し　安全二の次…運航再開　高いハードル,https://www.yomiuri.co.jp/commentary/20241106-OYT8T50125/,No Date,No Title Content,No Content,2024-11-23 10:11:03
トランプ氏勝利に期待するプーチン・ネタニヤフ氏、ハリス氏を望むゼレンスキー氏…各国指導者の思惑は,https://www.yomiuri.co.jp/world/uspresident/20241106-OYT1T50035/,2024/11/06 07:10,トランプ氏勝利に期待するプーチン・ネタニヤフ氏、ハリス氏を望むゼレンスキー氏…各国指導者の思惑は,"５日に投票が始まったアメリカ大統領選挙の結果は、世界情勢に大きく影響する。各国指導者の思惑をまとめた。


ロシアのプーチン大統領は、共和党のトランプ前大統領の勝利に期待しているとみられる。侵略するウクライナに対する軍事支援に否定的で、当選すれば来年１月の就任までに和平を実現すると主張しているからだ。ロシアがすでに占領したウクライナ領の割譲を条件に、停戦に持ち込む案が取りざたされている。
ウクライナのウォロディミル・ゼレンスキー大統領はウクライナ支援を主導してきたバイデン政権の路線を踏襲する構えの民主党候補ハリス副大統領の当選を望んでいるのは間違いない。１０月３１日、「（次期米大統領によって）もし支援が弱まれば、ロシアは更に領土を奪い、我々がこの戦争に勝つことはできなくなるだろう」とＳＮＳに投稿した。
トランプ氏が当選した場合、米国から妥協を迫られかねない。ゼレンスキー氏は「我々の立場は領土を巡る妥協ではなく、米国の関与が維持されることに依拠した外交的手段の可能性を探るものだ」として、外交的解決を目指す上でも米国の後ろ盾が不可欠だとの考えを示した。


パレスチナ自治区ガザやレバノンで戦闘を続けるイスラエルのベンヤミン・ネタニヤフ首相らがトランプ氏の当選を望んでいるのは「公然の秘密」だ。
トランプ氏は前回の任期で国際的に認められていないエルサレムを首都と認定して大使館を移すなど極端な親イスラエル政策を取ったのに対し、ハリス氏は選挙期間中、イスラエルへの武器供与停止をにおわせたためだ。
イスラエルの民放「チャンネル１３」は９月、ネタニヤフ氏が非公開の場で「トランプ氏は我々が直面している難問を理解してくれるが、もう一方は問題となるだろう」と語ったと報じた。首相府は否定したが、本音とみられている。パレスチナ自治政府高官は取材に対し、「トランプ氏が当選したら悪夢の再来になる」と懸念を口にした。


中国の
習近平
政権の内情に詳しい関係者によると中国政府は、予測不能なトランプ氏の返り咲きに備え、対応を協議している。
トランプ氏が公言する対中関税の引き上げが６０％に達すれば中国経済にとって大打撃だ。中国産品を輸入する米企業からの反発も見越し、それを利用して通商協議に持ち込みたい考えだ。
安全保障面では、バイデン政権下で進められた同盟国との協力関係や対中包囲網が揺らぐとみている。トランプ氏は日本や韓国に対して駐留米軍の費用負担の増額を求める可能性がある。そうなれば日韓の切り崩しを図ることも予想される。
北朝鮮は、米大統領選で「誰が政権を握っても、米国という国家そのものを相手にする。国家の自衛権について誰とも交渉しない」（
金星
国連大使）と主張しており、結果にかかわらず核・ミサイル開発を進める構えを強調した。
金正恩
朝鮮労働党総書記は２０１８年に史上初の米朝首脳会談を行ったトランプ氏との再交渉に期待しているとの見方がある。朝鮮中央通信は７月、「首脳間の個人的な親交関係」があったと言及していた。",2024-11-23 10:11:17
皇室典範に勧告　歴史や伝統を無視した発信だ,https://www.yomiuri.co.jp/editorial/20241104-OYT1T50090/,2024/11/05 05:00,皇室典範に勧告　歴史や伝統を無視した発信だ,"皇位継承のあり方は、国家の基本にかかわる事柄である。その見直しを国連の名の下に、付属機関で活動している個人が要求してくるとは、筋違いも甚だしい。
国連の女子差別撤廃委員会が、皇位継承を「男系男子」に限っている皇室典範について、男女平等を保障する内容に改めるよう、日本政府に勧告した。
勧告は、皇位継承のあり方を「女性に対するあらゆる差別を禁じた女子差別撤廃条約の趣旨に反している」と主張している。
日本の皇室制度は長い歴史の中で培われてきた。男系男子による皇位継承は、今上天皇を含めて１２６代にわたる。また、一時的に女性が天皇になった例もある。
王室や皇室のあり方は、それぞれの国の伝統や国柄が反映されており、尊重されねばならない。
委員会は、２３か国の専門家で構成されている。今回の勧告は、ネパールの委員がまとめたものだ。勧告に法的拘束力はないが、この発信は、あたかも皇室典範に女性差別があるかのような誤った印象を広げる恐れがある。
政府が委員会に抗議し、皇室典範に関する記述の削除を求めたのは当然だ。国際社会に対し、勧告が日本の皇室制度の特徴を何ら理解せず、誤解に基づくものだと説明していくことも欠かせない。
そもそも憲法は、天皇の地位について「国民の総意に基づく」と定めている。皇室をどう安定的に維持していくのかは、国民が考えて決めるべき問題である。
勧告はまた、選択的夫婦別姓の導入も注文した。
法制審議会が１９９６年に選択的夫婦別姓の導入を答申して以来、国内ではその是非について議論が続いている。先の自民党総裁選でも論戦のテーマとなった。
夫婦が別々の姓を名乗ることになれば、社会や家族のあり方に大きな影響を及ぼす。子供は、父親か母親と別の姓になるという問題も無視できない。導入の是非については慎重に検討すべきだ。
このほか委員会は、日韓両国が２０１５年に「最終的かつ不可逆的な解決」を確認した慰安婦合意について、賠償請求への対応を求めた。かつては合意自体を「解決していない」と否定していた。
合意に基づき、日本政府は、韓国が設立した元慰安婦支援のための財団に１０億円を拠出した。その財団から、多くの元慰安婦が支援金を受け取っている。
２国間の合意にまで口を出すとは、あきれてものが言えない。",2024-11-23 10:11:26
朝鮮通信使　再現鮮やか,https://www.yomiuri.co.jp/local/okayama/news/20241104-OYTNT50049/,2024/11/04 05:00,朝鮮通信使　再現鮮やか,"
「瀬戸内牛窓国際交流フェスタ２０２４」（実行委員会主催）が３日、瀬戸内市牛窓町で開かれた。江戸時代に来日した朝鮮王朝からの外交使節団「朝鮮通信使」の再現行列では、通信使などに
扮
した日韓の市民や学生ら約１５０人が港町を歩き、観光客を魅了した。
朝鮮通信使は江戸時代に１２回来日し、うち９回、牛窓港に寄港したとされる。民族衣装チマチョゴリなど色鮮やかな衣装に身を包んだ一行は、港近くの出島公園を発着点とする約２・５キロを韓国の伝統楽器「プク」や「チャング」を演奏しながら行進。沿道の観光客らは日韓両国の国旗を振りながら、「こんにちは」「アンニョンハセヨ（韓国語のあいさつ）」などとあいさつを交わし、交流を楽しんだ。
行進終了後には、通信使の正使役を務めた李相烈・駐神戸韓国総領事と藩士役の武久顕也・瀬戸内市長が“国書”を交わして友好を確かめ合った。
公園内には韓国の伝統芸能などを披露するステージのほか、出店も並び、多くの観光客が韓国の文化や食を満喫した。
初めて再現行列を見たという、美作市の男性（８２）は「とてもにぎやかで驚いた。本や資料だけでは行列のにぎやかさはわからない。見ることができてよかった」と話した。",2024-11-23 10:11:34
新羅琴、日韓交流の賜物…朝鮮半島から伝来の伽耶琴と同じ起源,https://www.yomiuri.co.jp/local/kansai/news/20241031-OYO1T50052/,2024/10/31 15:00,新羅琴、日韓交流の賜物…朝鮮半島から伝来の伽耶琴と同じ起源,"奈良国立博物館（奈良市）で開催中の「第７６回正倉院展」（特別協力・読売新聞社）に出展されている弦楽器「
新羅琴
」は、韓国を代表する伝統的な民族楽器・
伽耶琴
と同じ起源を持つ。韓国に１０００年以上前の古い伽耶琴は残っておらず、伽耶琴奏者らも注目している。（橿原支局長　関口和哉）
新羅琴は古代の朝鮮半島・新羅から伝わった音楽「新羅楽」に用いられた１２弦の琴。弦を固定させる「
緒留
」が、特徴的な羊の耳形をしている。正倉院宝物の目録「
国家珍宝帳
」に２件が記されているが、いずれも平安時代の８２３年に出蔵され、２か月後に別の琴が代納された。そのうち１件が今回の正倉院展に出展されている。
伽耶琴は、３～６世紀に半島南部にあった小国群「伽耶」で作られ始めた。伽耶が滅んだ後も新羅で使い続けられた。韓国・慶州の６世紀半ばの古墳から出土した装飾
壺
に伽耶琴を弾く男性像が表されている。
現在伝わる伽耶琴は「新羅琴」と同じ１２弦で、緒留の形は違う。指を使って演奏し、繊細な音色がする。奈良時代に新羅を通して日本に伝わった伽耶琴が、「新羅琴」と呼ばれるようになったと考えられている。
韓国・全羅南道出身で大阪市在住の伽耶琴奏者、
元京愛
さん（６８）は「正倉院に古い伽耶琴が伝わっていると知り、驚いた。古代からの韓日交流の
賜物
。ぜひ正倉院展を訪れ、現物を見てみたい」と話している。
◆古代の朝鮮半島＝
４～７世紀、朝鮮半島は東部の新羅、西部の百済、北部の高句麗の３国が分立し、
倭
（日本）を巻き込んで抗争を繰り広げ、三国時代と呼ばれた。南部の伽耶（
任那
）は、倭と活発に交流していたが、５６２年に新羅に滅ぼされた。",2024-11-23 10:11:42
最新号目次,https://www.yomiuri.co.jp/choken/quarterly/20241003-OYT8T50078/,2024/10/31 14:00,最新号目次,"■
ＦＯＣＵＳ
「独裁国の『弧』抑止へ、クアッドの連帯と日本のリーダーシップが必要」スコット・モリソン・豪前首相

■【視座】
「ルイスの転換点」再び？／林田晃雄


■特集１　インド太平洋の平和を守る■
■危機の時代に求められる国家戦略／伊藤徹也


■特集２　変革の時を迎えた日本■
",2024-11-23 10:11:49
